date_ech;valeur
2018-06-13T02:00:00+02:00;4
2018-06-21T02:00:00+02:00;3
2018-06-24T02:00:00+02:00;4
2018-07-10T02:00:00+02:00;3
2018-07-13T02:00:00+02:00;4
2018-07-14T02:00:00+02:00;5
2018-07-23T02:00:00+02:00;5
2018-07-27T02:00:00+02:00;6
2018-08-04T02:00:00+02:00;5
2018-08-15T02:00:00+02:00;3
2018-08-19T02:00:00+02:00;3
2018-03-22T01:00:00+01:00;3
2018-03-23T01:00:00+01:00;3
2018-03-31T02:00:00+02:00;3
2018-04-06T02:00:00+02:00;4
2018-04-07T02:00:00+02:00;4
2018-04-12T02:00:00+02:00;8
2018-04-14T02:00:00+02:00;6
2018-04-17T02:00:00+02:00;5
2018-04-26T02:00:00+02:00;4
2018-04-27T02:00:00+02:00;4
2018-04-30T02:00:00+02:00;4
2018-05-07T02:00:00+02:00;6
2018-05-08T02:00:00+02:00;6
2018-05-20T02:00:00+02:00;6
2018-05-23T02:00:00+02:00;6
2018-05-25T02:00:00+02:00;9
2019-01-30T01:00:00+01:00;3
2019-02-01T01:00:00+01:00;5
2019-02-04T01:00:00+01:00;3
2019-02-13T01:00:00+01:00;5
2019-02-14T01:00:00+01:00;7
2019-02-19T01:00:00+01:00;4
2019-02-20T01:00:00+01:00;5
2019-02-24T01:00:00+01:00;5
2019-03-03T01:00:00+01:00;3
2019-03-07T01:00:00+01:00;4
2019-03-12T01:00:00+01:00;4
2019-03-15T01:00:00+01:00;3
2019-03-29T01:00:00+01:00;6
2019-04-03T02:00:00+02:00;4
2019-06-27T02:00:00+02:00;5
2019-06-28T02:00:00+02:00;5
2019-07-01T02:00:00+02:00;4
2019-07-02T02:00:00+02:00;4
2019-07-05T02:00:00+02:00;6
2019-07-08T02:00:00+02:00;4
2019-07-20T02:00:00+02:00;3
2019-07-27T02:00:00+02:00;3
2019-08-01T02:00:00+02:00;4
2019-08-02T02:00:00+02:00;4
2019-08-08T02:00:00+02:00;4
2019-08-29T02:00:00+02:00;4
2019-09-03T02:00:00+02:00;3
2019-04-18T02:00:00+02:00;6
2019-04-20T02:00:00+02:00;6
2019-04-28T02:00:00+02:00;3
2019-05-02T02:00:00+02:00;6
2019-05-12T02:00:00+02:00;4
2019-05-28T02:00:00+02:00;3
